gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,verbatimScientificName,countryCode,stateProvince,occurrenceStatus,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,lastInterpreted,mediaType,issue,event_year,event_month,event_day,event_day_of_week,event_season,kingdom_grouped
891737661,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/392232,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,SUBSPECIES,Procavia capensis capensis,Procavia capensis capensis,ZA,Western Cape,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-34.195728,18.450291,13.0,2013-09-03 10:19:45,3,9,2013,7059530,5219598.0,HUMAN_OBSERVATION,iNaturalist,Observations,392232,Tony Rebelo,2017-10-19T23:40:17,CC_BY_NC_4_0,John Francis,John Francis,2023-09-21T13:29:51.418Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2013,9,3,Tuesday,Fall,Animalia
899947055,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/566266,Animalia,Cnidaria,Anthozoa,Scleractinia,Plerogyridae,Plerogyra,Plerogyra sinuosa,SPECIES,"Plerogyra sinuosa (Dana, 1846)",Plerogyra sinuosa,PW,Koror,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,7.232672,134.414699,31324.0,2014-02-27 14:22:59,27,2,2014,2259273,2259273.0,HUMAN_OBSERVATION,iNaturalist,Observations,566266,Mark Rosenstein,2016-08-09T08:38:55,CC_BY_4_0,Mark Rosenstein,Mark Rosenstein,2023-09-21T13:29:58.235Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,2,27,Thursday,Winter,Animalia
1024190347,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/784705,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Cercyonis,Cercyonis pegala,SPECIES,"Cercyonis pegala Fabricius, 1775",Cercyonis pegala,US,Vermont,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.635704,-73.390377,,2014-07-14 00:00:00,14,7,2014,1915492,1915492.0,HUMAN_OBSERVATION,iNaturalist,Observations,784705,roy pilcher,2014-07-15T00:14:13,CC_BY_NC_4_0,roy pilcher,roy pilcher,2023-09-21T13:30:03.089Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,7,14,Monday,Summer,Animalia
1038323527,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://naturewatch.org.nz/observations/401691,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa itea,SPECIES,"Vanessa itea (Fabricius, 1775)",Vanessa itea,NZ,Wellington,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-41.281455,174.765752,,2014-04-28 00:00:00,28,4,2014,5806175,5806175.0,HUMAN_OBSERVATION,iNaturalist,Observations,998573,Melissa Hutchison,2014-05-03T08:32:55,CC_BY_NC_4_0,Melissa Hutchison,Melissa Hutchison,2023-09-21T13:30:07.652Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,4,28,Monday,Spring,Animalia
1065596588,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1191781,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza melodia,SPECIES,"Melospiza melodia (A.Wilson, 1810)",Melospiza melodia,US,Vermont,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.545323,-72.98282,48.0,2015-01-24 00:00:00,24,1,2015,2492196,2492196.0,HUMAN_OBSERVATION,iNaturalist,Observations,1191781,roy pilcher,2015-01-24T19:29:13,CC_BY_NC_4_0,roy pilcher,roy pilcher,2023-09-21T13:30:12.151Z,StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,1,24,Saturday,Winter,Animalia
1836675534,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1427914,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,Leucocarbo bougainvillii,SPECIES,"Leucocarbo bougainvillii (Lesson, 1837)",Leucocarbo bougainvillii,PE,Lambayeque,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-6.919366,-79.917599,31337.0,2015-04-26 00:00:00,26,4,2015,6066498,6066498.0,HUMAN_OBSERVATION,iNaturalist,Observations,1427914,Ernesto Málaga-Arenas,2022-04-18T23:45:19,CC_BY_4_0,Ernesto Málaga-Arenas,Ernesto Málaga-Arenas,2023-09-21T13:30:16.484Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,4,26,Sunday,Spring,Animalia
1098914398,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1643572,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,SPECIES,"Thomomys bottae (Eydoux & Gervais, 1836)",Thomomys bottae,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.27314,-120.888733,16.0,2014-11-11 00:00:00,11,11,2014,2439385,2439385.0,HUMAN_OBSERVATION,iNaturalist,Observations,1643572,R.J. Adams,2015-06-18T04:56:18,CC_BY_NC_4_0,R.J. Adams,R.J. Adams,2023-09-21T13:30:22.286Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,11,11,Tuesday,Fall,Animalia
1227719485,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/1848872,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Paonias,Paonias excaecata,SPECIES,"Paonias excaecata Smith, 1797",Paonias excaecata,CA,Ontario,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.198971,-79.773397,27222.0,2015-08-08 00:00:00,8,8,2015,4301348,4301348.0,HUMAN_OBSERVATION,iNaturalist,Observations,1848872,Charmi Z.,2015-08-10T01:10:22,CC_BY_NC_4_0,Charmi Z.,Charmi Z.,2023-09-21T13:30:28.339Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,8,8,Saturday,Summer,Animalia
1143562846,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2075770,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,Hypochaeris radicata,SPECIES,Hypochaeris radicata L.,Hypochaeris radicata,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.579864,-122.469367,5.0,2015-09-26 10:15:31,26,9,2015,3093702,3093702.0,HUMAN_OBSERVATION,iNaturalist,Observations,2075770,Toni Corelli,2015-10-07T16:57:45,CC_BY_NC_4_0,jscherer,jscherer,2023-09-21T13:30:34.655Z,StillImage;StillImage;StillImage;StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,9,26,Saturday,Fall,Plantae
1227740258,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2447100,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,SPECIES,"Sturnus vulgaris Linnaeus, 1758",Sturnus vulgaris,US,Ohio,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.758358,-81.276755,187.0,2015-11-25 13:58:24,25,11,2015,9809229,9809229.0,HUMAN_OBSERVATION,iNaturalist,Observations,2447100,Matthew Salkiewicz,2015-12-03T06:25:09,CC_BY_NC_4_0,Matthew Salkiewicz,Matthew Salkiewicz,2023-09-21T13:30:40.187Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2015,11,25,Wednesday,Fall,Animalia
1249293002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://inaturalist.ca/observations/2671435,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus pinus,SPECIES,"Spinus pinus (A.Wilson, 1810)",Spinus pinus,CA,British Columbia,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.185729,-123.976081,,2016-02-11 13:12:47,11,2,2016,5231635,5231635.0,HUMAN_OBSERVATION,iNaturalist,Observations,2671435,Warren Cronan,2016-02-12T02:01:53,CC_BY_NC_4_0,Warren Cronan,Warren Cronan,2023-09-21T13:30:45.629Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,2,11,Thursday,Winter,Animalia
1265549485,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/2855413,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Dracotettix,Dracotettix monstrosus,SPECIES,"Dracotettix monstrosus Bruner, 1889",Dracotettix monstrosus,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.908183,-121.952012,,2016-03-30 13:33:58,30,3,2016,1714494,1714494.0,HUMAN_OBSERVATION,iNaturalist,Observations,2855413,Alice Abela,2016-04-04T03:50:33,CC_BY_NC_4_0,Donna Pomeroy,Donna Pomeroy,2023-09-21T13:30:52.309Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,3,30,Wednesday,Spring,Animalia
2350354874,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3054943,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,Phorcus turbinatus,SPECIES,"Phorcus turbinatus (Born, 1778)",Phorcus turbinatus,IT,Sardegna,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.152955,9.427797,,2009-04-17 09:00:24,17,4,2009,7871052,7871052.0,HUMAN_OBSERVATION,iNaturalist,Observations,3054943,Drepanostoma,2019-08-17T03:28:02,CC_BY_NC_4_0,Drepanostoma,Drepanostoma,2023-09-21T13:30:57.817Z,StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2009,4,17,Friday,Spring,Animalia
1270047013,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3287611,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Bignonia,Bignonia capreolata,SPECIES,Bignonia capreolata L.,Bignonia capreolata,US,South Carolina,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.815539,-80.828002,10.0,2016-05-21 10:37:42,21,5,2016,3172516,3172516.0,HUMAN_OBSERVATION,iNaturalist,Observations,3287611,Keith Bradley,2016-05-28T14:59:09,CC_BY_NC_4_0,life59,life59,2023-09-21T13:31:04.013Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,5,21,Saturday,Spring,Plantae
1291083844,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3506121,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,SPECIES,"Thomomys bottae (Eydoux & Gervais, 1836)",Thomomys bottae,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.576002,-119.959985,211.0,2007-06-16 00:00:00,16,6,2007,2439385,2439385.0,HUMAN_OBSERVATION,iNaturalist,Observations,3506121,Alyssa Semerdjian,2016-07-01T09:41:57,CC_BY_NC_4_0,terrydad2,terrydad2,2023-09-21T13:31:10.098Z,StillImage;StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2007,6,16,Saturday,Summer,Animalia
1291144130,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3737378,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,Malacosoma americana,SPECIES,"Malacosoma americana (Fabricius, 1793)",Malacosoma americana,US,Maine,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.381303,-68.065133,,2016-07-23 23:11:00,23,7,2016,5715280,5715280.0,HUMAN_OBSERVATION,iNaturalist,Observations,3737378,Michael Marion,2018-10-26T19:19:29,CC_BY_NC_4_0,Michael Marion,Michael Marion,2023-09-21T13:31:15.799Z,StillImage;StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,7,23,Saturday,Summer,Animalia
1305156725,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/3945700,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,Lucanus cervus,SPECIES,"Lucanus cervus (Linnaeus, 1758)",Lucanus cervus,IT,Trentino-Alto Adige,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,46.181851,11.266651,122.0,2016-08-16 11:09:00,16,8,2016,5743122,5743122.0,HUMAN_OBSERVATION,iNaturalist,Observations,3945700,borisb,2016-08-23T10:34:08,CC_BY_NC_4_0,fabrizio_petrassi,fabrizio_petrassi,2023-09-21T13:31:22.731Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,8,16,Tuesday,Summer,Animalia
1315080424,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4150969,Animalia,Mollusca,Bivalvia,Cardiida,Solecurtidae,Tagelus,Tagelus californianus,SPECIES,"Tagelus californianus (Conrad, 1837)",Tagelus californianus,US,California,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,34.38822,-119.517158,8.0,2016-09-18 03:04:00,18,9,2016,2287052,2287052.0,HUMAN_OBSERVATION,iNaturalist,Observations,4150969,Susan J. Hewitt,2016-09-20T15:16:20,CC_BY_NC_4_0,Tim Quinn,Tim Quinn,2023-09-21T13:31:29.036Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,9,18,Sunday,Fall,Animalia
1453148149,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4375104,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes,Dryophytes squirellus,SPECIES,"Hyla squirella Daudin, 1800",Hyla squirella,US,Texas,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,30.458315,-94.387338,23.0,2016-10-14 20:38:00,14,10,2016,2427567,10843277.0,HUMAN_OBSERVATION,iNaturalist,Observations,4375104,Eric N. Rittmeyer,2016-10-17T03:15:07,CC_BY_4_0,Annika Lindqvist,Annika Lindqvist,2023-09-21T13:31:33.788Z,StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,10,14,Friday,Fall,Animalia
1453236631,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/4620480,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Neola,Neola semiaurata,SPECIES,"Neola semiaurata Walker, 1855",Neola semiaurata,AU,New South Wales,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-31.93191,152.413895,4.0,2016-11-22 00:00:00,22,11,2016,1824280,1824280.0,HUMAN_OBSERVATION,iNaturalist,Observations,4620480,Victor W Fazio III,2016-11-23T08:46:07,CC_BY_NC_4_0,Victor W Fazio III,Victor W Fazio III,2023-09-21T13:31:40.219Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,11,22,Tuesday,Fall,Animalia
1453316452,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/4863409,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago caesia,SPECIES,Solidago caesia L.,Solidago caesia,US,New York,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.825897,-78.629166,,2016-09-24 16:20:20,24,9,2016,5389076,5389076.0,HUMAN_OBSERVATION,iNaturalist,Observations,4863409,cprosenb,2016-12-29T20:06:15,CC_BY_NC_4_0,cprosenb,cprosenb,2023-09-21T13:31:47.187Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2016,9,24,Saturday,Fall,Plantae
1978470791,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5037630,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia,Ceratomia undulosa,SPECIES,"Ceratomia undulosa Walker, 1856",Ceratomia undulosa,CA,Ontario,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,43.706364,-79.345043,50.0,2014-07-18 17:05:00,18,7,2014,1861887,1861887.0,HUMAN_OBSERVATION,iNaturalist,Observations,5037630,kens18,2017-02-01T14:48:35,CC_BY_NC_4_0,kens18,kens18,2023-09-21T13:31:53.830Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2014,7,18,Friday,Summer,Animalia
1453471594,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5211870,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine hirsuta,SPECIES,Cardamine hirsuta L.,Cardamine hirsuta,DE,Baden-Württemberg,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.323142,8.540819,86.0,2017-03-02 15:22:33,2,3,2017,3046258,3046258.0,HUMAN_OBSERVATION,iNaturalist,Observations,5211870,Andreas Rockstein,2017-03-02T19:10:12,CC0_1_0,Andreas Rockstein,Andreas Rockstein,2023-09-21T13:31:59.488Z,StillImage;StillImage,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2017,3,2,Thursday,Spring,Plantae
1455575043,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/5450578,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,Calliandra eriophylla,SPECIES,Calliandra eriophylla Benth.,Calliandra eriophylla,US,Arizona,PRESENT,28eb1a3f-1c15-4a95-931a-4af90ecb574d,32.287105,-111.123497,,2017-03-24 16:26:14,24,3,2017,2982181,2982181.0,HUMAN_OBSERVATION,iNaturalist,Observations,5450578,CK Kelly,2017-03-25T06:57:21,CC_BY_4_0,CK Kelly,CK Kelly,2023-09-21T13:32:04.698Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,2017,3,24,Friday,Spring,Plantae
